#####START_HYDROGRAPHS_KED_01_00000
     Time    Rain  Rainperv    Qtop      Qbot      Qper      Qimp    Qinto_OS   Qout_OS  Stage
      0.0    0.00    0.00     0.000     0.000     0.000     0.000     0.000     0.000     0.000
     15.0    1.08    0.00     0.195     0.005     0.000     0.169     0.174     0.174     0.000
     30.0    1.04    0.00     0.198     0.022     0.000     0.172     0.194     0.194     0.000
     45.0    1.04    0.00     0.208     0.041     0.000     0.172     0.213     0.213     0.000
     60.0    1.04    0.00     0.223     0.061     0.000     0.172     0.234     0.234     0.000
     75.0    1.00    0.00     0.235     0.082     0.000     0.166     0.248     0.248     0.000
     90.0    0.96    0.00     0.250     0.103     0.000     0.160     0.263     0.263     0.000
    105.0    0.96    0.00     0.278     0.126     0.000     0.159     0.285     0.285     0.000
    120.0    0.96    0.00     0.312     0.150     0.000     0.159     0.309     0.309     0.000
    135.0    0.96    0.00     0.356     0.178     0.000     0.159     0.337     0.337     0.000
    150.0    0.96    0.00     0.415     0.210     0.000     0.159     0.369     0.369     0.000
    165.0    0.96    0.00     0.496     0.249     0.000     0.159     0.409     0.409     0.000
    180.0    0.96    0.00     0.603     0.300     0.000     0.159     0.459     0.459     0.000
    195.0    1.52    0.00     0.846     0.374     0.000     0.247     0.620     0.620     0.000
    210.0    2.68    0.18     1.241     0.497     0.002     0.433     0.932     0.932     0.000
    225.0    2.68    0.18     1.479     0.666     0.005     0.444     1.114     1.114     0.000
    240.0    9.68    7.18     3.421     1.044     0.236     1.537     2.817     2.817     0.000
    255.0    8.92    6.42     4.240     1.693     0.485     1.482     3.661     3.661     0.000
    270.0    6.96    4.46     4.833     2.413     0.627     1.173     4.213     4.213     0.000
    285.0    7.96    5.46     6.176     3.248     0.804     1.311     5.364     5.364     0.000
    300.0    7.96    5.46     7.498     4.272     0.960     1.319     6.552     6.552     0.000
    315.0    9.92    7.42     9.521     5.547     1.205     1.626     8.377     8.377     0.000
    330.0   17.88   15.38    13.743     7.480     1.899     2.886    12.264    12.264     0.000
    345.0    2.40    0.00    12.721     9.401     1.535     0.544    11.481    11.481     0.000
    360.0    5.56    3.06    15.261    10.992     1.431     0.900    13.322    13.322     0.000
    375.0   11.92    9.42    19.343    13.251     1.727     1.913    16.891    16.891     0.000
    390.0    1.72    0.00    20.254    15.674     1.403     0.381    17.458    17.458     0.000
    405.0    1.72    0.00    23.638    18.063     1.150     0.291    19.504    19.504     0.000
    420.0    1.72    0.00    27.944    21.090     0.951     0.286    22.326    22.326     0.000
    435.0    1.72    0.00    32.993    24.873     0.793     0.285    25.951    25.951     0.000
    450.0    2.48    0.00    38.347    29.362     0.666     0.404    30.432    30.432     0.000
    465.0    4.24    1.74    43.438    34.298     0.649     0.685    35.632    35.632     0.000
    480.0    4.76    2.26    47.191    39.137     0.660     0.783    40.580    40.580     0.000
    495.0    2.48    0.00    48.717    43.089     0.558     0.433    44.081    44.081     0.000
    510.0    1.32    0.00    48.766    45.644     0.475     0.231    46.351    46.351     0.000
    525.0    1.32    0.00    47.629    46.806     0.407     0.220    47.433    47.433     0.000
    540.0   24.28   21.78    52.146    48.216     1.499     3.802    53.517    53.517     0.000
    555.0   19.84   17.34    52.549    50.118     2.287     3.320    55.725    55.725     0.000
    570.0   13.88   11.38    52.390    51.206     2.564     2.361    56.131    56.131     0.000
    585.0    4.64    2.14    50.267    51.262     2.178     0.863    54.303    54.303     0.000
    600.0   13.88   11.38    51.841    51.168     2.475     2.217    55.859    55.859     0.000
    615.0   13.88   11.38    51.882    51.480     2.716     2.296    56.492    56.492     0.000
    630.0   11.92    9.42    51.501    51.576     2.776     1.995    56.347    56.347     0.000
    645.0   13.24   10.74    52.076    51.672     2.913     2.183    56.768    56.768     0.000
    660.0   21.84   19.34    55.694    52.701     3.625     3.536    59.863    59.863     0.000
    675.0   25.80   23.30    60.457    55.216     4.496     4.234    63.946    63.946     0.000
    690.0   43.68   41.18    72.179    60.503     6.601     7.065    74.170    74.170     0.000
    705.0   33.76   31.26    80.329    68.144     7.463     5.684    81.291    81.291     0.000
    720.0   69.48   66.98   104.385    80.183    11.223    11.176   102.582   102.582     0.000
    735.0   59.56   57.06   123.222    97.423    13.214     9.951   120.588   120.588     0.000
    750.0   27.80   25.30   134.295   113.977    11.740     4.924   130.641   130.641     0.000
    765.0   55.60   53.10   158.356   131.504    13.229     8.965   153.698   153.698     0.000
    780.0   91.32   88.82   192.137   155.833    17.740    14.777   188.350   188.350     0.000
    795.0   63.52   61.02   215.636   183.303    18.267    10.781   212.351   212.351     0.000
    810.0   39.72   37.22   236.190   208.243    16.314     6.832   231.389   231.389     0.000
    825.0   11.92    9.42   245.040   227.524    12.396     2.262   242.182   242.182     0.000
    840.0    7.96    5.46   246.745   238.537     9.425     1.375   249.337   249.337     0.000
    855.0   27.80   25.30   247.079   243.586     9.062     4.419   257.066   257.066     0.000
<<<<<<< HEAD
<<<<<<< HEAD
    870.0   31.76   29.26   242.313   244.240     9.132     5.216   358.587   358.587     0.000
=======
    870.0   31.76   29.26   242.313   244.240     9.132     5.216   000.000   358.587     0.000
>>>>>>> fc1b37be0c508c82c3d630aef83a9a3d07bfd5bf
=======
    870.0   31.76   29.26   242.313   244.240     9.132     5.216   358.587   358.587     0.000
>>>>>>> 26a28fe43152dcff51a37ef84f6cd92798fbe7de
    885.0   17.20   14.70   231.294   239.754     7.951     2.991   250.696   250.696     0.000
    900.0    3.96    1.46   216.393   230.201     6.041     0.794   237.036   237.036     0.000
    915.0    4.64    2.14   201.679   217.592     4.743     0.771   223.105   223.105     0.000
    930.0    2.84    0.34   185.345   203.389     3.676     0.489   207.553   207.553     0.000
